Date,Close
2010-03-11,0.6605
2010-03-12,0.6442
2010-03-15,0.6238
2010-03-16,0.6745
2010-03-17,0.6988
2010-03-18,0.6818
2010-03-19,0.6508
2010-03-22,0.6978
2010-03-23,0.7428
2010-03-24,0.7017
2010-03-25,0.6982
2010-03-26,0.6872
2010-03-29,0.7057
2010-03-30,0.7192
2010-03-31,0.7080
2010-04-01,0.7103
2010-04-05,0.7705
2010-04-06,0.7588
2010-04-07,0.7663
2010-04-08,0.7392
2010-04-09,0.7588
2010-04-12,0.7778
2010-04-13,0.7928
2010-04-14,0.8948
2010-04-15,0.9025
2010-04-16,0.8692
2010-04-19,0.8398
2010-04-20,0.8805
2010-04-21,0.8530
2010-04-22,0.9012
2010-04-23,0.9052
2010-04-26,0.9132
2010-04-27,0.8187
2010-04-28,0.8350
2010-04-29,0.8637
2010-04-30,0.7472
2010-05-03,0.8022
2010-05-04,0.6960
2010-05-05,0.6737
2010-05-06,0.6163
2010-05-07,0.5788
2010-05-10,0.6800
2010-05-11,0.6670
2010-05-12,0.7212
2010-05-13,0.6647
2010-05-14,0.6040
2010-05-17,0.6290
2010-05-18,0.5777
2010-05-19,0.5868
2010-05-20,0.5390
2010-05-21,0.5742
2010-05-24,0.5403
2010-05-25,0.5525
2010-05-26,0.5497
2010-05-27,0.6333
2010-05-28,0.6028
2010-06-01,0.5618
2010-06-02,0.6218
2010-06-03,0.6457
2010-06-04,0.5617
2010-06-07,0.4990
2010-06-08,0.4935
2010-06-09,0.4837
2010-06-10,0.5368
2010-06-11,0.5598
2010-06-14,0.5705
2010-06-15,0.6655
2010-06-16,0.6747
2010-06-17,0.6703
2010-06-18,0.6658
2010-06-21,0.6482
2010-06-22,0.6140
2010-06-23,0.6193
2010-06-24,0.5653
2010-06-25,0.5672
2010-06-28,0.5738
2010-06-29,0.4957
2010-06-30,0.4717
2010-07-01,0.4735
2010-07-02,0.4677
2010-07-06,0.4668
2010-07-07,0.5402
2010-07-08,0.5362
2010-07-09,0.5547
2010-07-12,0.5758
2010-07-13,0.6128
2010-07-14,0.6072
2010-07-15,0.5993
2010-07-16,0.5423
2010-07-19,0.5833
2010-07-20,0.5850
2010-07-21,0.5495
2010-07-22,0.5998
2010-07-23,0.6113
2010-07-26,0.6333
2010-07-27,0.6203
2010-07-28,0.5882
2010-07-29,0.5525
2010-07-30,0.5352
2010-08-02,0.5635
2010-08-03,0.5465
2010-08-04,0.5625
2010-08-05,0.5490
2010-08-06,0.5497
2010-08-09,0.5587
2010-08-10,0.5158
2010-08-11,0.4537
2010-08-12,0.4355
2010-08-13,0.4223
2010-08-16,0.4267
2010-08-17,0.4430
2010-08-18,0.4578
2010-08-19,0.4348
2010-08-20,0.4398
2010-08-23,0.4243
2010-08-24,0.4028
2010-08-25,0.4150
2010-08-26,0.3913
2010-08-27,0.4147
2010-08-30,0.3847
2010-08-31,0.3602
2010-09-01,0.3937
2010-09-02,0.4198
2010-09-03,0.4380
2010-09-07,0.4143
2010-09-08,0.4075
2010-09-09,0.4092
2010-09-10,0.3932
2010-09-13,0.4322
2010-09-14,0.4533
2010-09-15,0.4498
2010-09-16,0.4593
2010-09-17,0.4597
2010-09-20,0.4652
2010-09-21,0.4620
2010-09-22,0.4428
2010-09-23,0.4513
2010-09-24,0.5050
2010-09-27,0.4963
2010-09-28,0.5195
2010-09-29,0.5310
2010-09-30,0.5195
2010-10-01,0.5140
2010-10-04,0.4930
2010-10-05,0.5238
2010-10-06,0.5058
2010-10-07,0.5060
2010-10-08,0.5225
2010-10-11,0.5320
2010-10-12,0.5433
2010-10-13,0.5458
2010-10-14,0.5413
